,order_id,order_date,order_time
820,359,2015-01-06,18:33:08
822,360,2015-01-06,18:50:38
825,361,2015-01-06,19:12:38
827,362,2015-01-06,19:13:36
829,363,2015-01-06,19:20:31
831,364,2015-01-06,19:27:24
833,365,2015-01-06,19:37:26
836,366,2015-01-06,20:04:20
837,367,2015-01-06,20:05:12
839,368,2015-01-06,20:28:16
841,369,2015-01-06,20:30:06
842,370,2015-01-06,21:02:30
844,371,2015-01-06,21:15:20
845,372,2015-01-06,22:26:59
846,373,2015-01-07,11:45:18
849,374,2015-01-07,11:55:59
852,375,2015-01-07,11:58:36
853,376,2015-01-07,12:01:17
855,377,2015-01-07,12:03:18
857,378,2015-01-07,12:19:37
858,379,2015-01-07,12:25:37
859,380,2015-01-07,12:32:10
861,381,2015-01-07,12:33:06
862,382,2015-01-07,12:33:07
864,383,2015-01-07,12:43:59
865,384,2015-01-07,12:51:46
869,385,2015-01-07,12:54:19
870,386,2015-01-07,12:58:16
873,387,2015-01-07,13:03:14
880,388,2015-01-07,13:04:56
884,389,2015-01-07,13:10:17
885,390,2015-01-07,13:15:32
886,391,2015-01-07,13:25:31
887,392,2015-01-07,13:36:47
895,393,2015-01-07,13:48:31
897,394,2015-01-07,14:02:18
909,395,2015-01-07,14:11:08
910,396,2015-01-07,14:12:21
911,397,2015-01-07,14:31:10
914,398,2015-01-07,14:56:26
915,399,2015-01-07,15:47:49
919,400,2015-01-07,16:03:07
921,401,2015-01-07,16:08:35
922,402,2015-01-07,16:24:46
924,403,2015-01-07,16:26:10
927,404,2015-01-07,16:39:27
928,405,2015-01-07,16:44:16
929,406,2015-01-07,16:50:49
932,407,2015-01-07,16:56:42
935,408,2015-01-07,17:09:09
937,409,2015-01-07,17:15:04
938,410,2015-01-07,17:33:49
941,411,2015-01-07,17:58:09
943,412,2015-01-07,18:07:46
945,413,2015-01-07,18:11:32
946,414,2015-01-07,18:13:22
949,415,2015-01-07,18:16:23
950,416,2015-01-07,18:17:42
951,417,2015-01-07,18:24:40
952,418,2015-01-07,18:40:11
954,419,2015-01-07,19:02:31
958,420,2015-01-07,19:04:40
960,421,2015-01-07,19:21:58
963,422,2015-01-07,19:30:25
966,423,2015-01-07,19:45:07
968,424,2015-01-07,20:01:28
969,425,2015-01-07,20:21:19
970,426,2015-01-07,20:25:45
973,427,2015-01-07,21:49:00
974,428,2015-01-07,22:05:00
976,429,2015-01-07,22:16:53
977,430,2015-01-07,22:46:13
979,431,2015-01-08,11:17:13
983,432,2015-01-08,11:39:07
986,433,2015-01-08,11:49:50
987,434,2015-01-08,11:54:14
990,435,2015-01-08,12:06:09
993,436,2015-01-08,12:07:21
997,437,2015-01-08,12:07:54
998,438,2015-01-08,12:08:38
999,439,2015-01-08,12:13:08
1002,440,2015-01-08,12:16:34
1016,441,2015-01-08,12:16:58
1018,442,2015-01-08,12:28:49
1019,443,2015-01-08,12:34:20
1033,444,2015-01-08,12:40:05
1034,445,2015-01-08,12:57:39
1035,446,2015-01-08,12:58:01
1038,447,2015-01-08,13:02:00
1039,448,2015-01-08,13:03:34
1042,449,2015-01-08,13:04:15
1043,450,2015-01-08,13:07:53
1044,451,2015-01-08,13:19:06
1047,452,2015-01-08,13:24:11
1050,453,2015-01-08,13:27:14
1054,454,2015-01-08,13:31:40
1055,455,2015-01-08,13:39:14
1056,456,2015-01-08,13:47:53
1057,457,2015-01-08,13:59:04
1060,458,2015-01-08,14:00:05
1063,459,2015-01-08,14:14:02
1064,460,2015-01-08,14:19:58
1066,461,2015-01-08,14:21:19
1068,462,2015-01-08,14:38:41
1069,463,2015-01-08,14:40:28
1071,464,2015-01-08,14:49:01
1073,465,2015-01-08,14:55:23
1074,466,2015-01-08,15:30:10
1076,467,2015-01-08,15:33:13
1077,468,2015-01-08,15:36:12
1079,469,2015-01-08,15:37:18
1081,470,2015-01-08,15:49:13
1082,471,2015-01-08,16:20:26
1083,472,2015-01-08,16:29:50
1085,473,2015-01-08,16:41:27
1088,474,2015-01-08,16:47:48
1090,475,2015-01-08,17:15:17
1092,476,2015-01-08,17:27:56
1095,477,2015-01-08,17:30:04
1097,478,2015-01-08,17:35:56
1099,479,2015-01-08,17:37:03
1101,480,2015-01-08,17:41:31
1102,481,2015-01-08,17:41:37
1104,482,2015-01-08,17:52:42
1107,483,2015-01-08,17:54:05
1111,484,2015-01-08,18:02:54
1113,485,2015-01-08,18:07:31
1114,486,2015-01-08,18:15:08
1115,487,2015-01-08,18:30:16
1118,488,2015-01-08,18:46:02
1119,489,2015-01-08,18:48:43
1120,490,2015-01-08,18:49:24
1123,491,2015-01-08,19:01:12
1127,492,2015-01-08,19:06:21
1130,493,2015-01-08,19:31:47
1131,494,2015-01-08,19:38:40
1135,495,2015-01-08,19:42:52
1137,496,2015-01-08,19:46:18
1139,497,2015-01-08,19:49:26
1140,498,2015-01-08,20:02:25
1141,499,2015-01-08,21:10:46
1145,500,2015-01-08,21:46:49
1146,501,2015-01-08,21:51:31
1149,502,2015-01-08,22:26:08
1150,503,2015-01-09,11:16:21
1152,504,2015-01-09,11:48:18
1153,505,2015-01-09,11:55:10
1155,506,2015-01-09,12:02:09
1156,507,2015-01-09,12:06:03
1157,508,2015-01-09,12:13:32
1160,509,2015-01-09,12:13:58
1161,510,2015-01-09,12:15:03
1165,511,2015-01-09,12:18:21
1166,512,2015-01-09,12:19:24
1167,513,2015-01-09,12:22:48
1171,514,2015-01-09,12:26:47
1172,515,2015-01-09,13:07:37
1174,516,2015-01-09,13:09:09
1176,517,2015-01-09,13:09:11
1177,518,2015-01-09,13:11:25
1180,519,2015-01-09,13:15:20
1181,520,2015-01-09,13:22:33
1182,521,2015-01-09,13:43:07
1183,522,2015-01-09,14:09:33
1194,523,2015-01-09,14:42:14
1195,524,2015-01-09,14:51:35
1197,525,2015-01-09,15:08:46
1198,526,2015-01-09,15:10:13
1200,527,2015-01-09,15:23:37
1202,528,2015-01-09,15:27:21
1203,529,2015-01-09,15:31:01
1206,530,2015-01-09,15:43:01
1208,531,2015-01-09,15:58:10
1209,532,2015-01-09,16:14:28
1211,533,2015-01-09,16:28:43
1214,534,2015-01-09,16:43:32
1216,535,2015-01-09,17:08:47
1217,536,2015-01-09,17:18:50
1219,537,2015-01-09,17:23:52
1222,538,2015-01-09,17:44:04
1223,539,2015-01-09,17:51:34
1226,540,2015-01-09,17:52:41
1227,541,2015-01-09,18:07:47
1228,542,2015-01-09,18:08:06
1230,543,2015-01-09,18:23:59
1233,544,2015-01-09,18:31:04
1235,545,2015-01-09,18:46:28
1239,546,2015-01-09,18:47:27
1240,547,2015-01-09,18:49:23
1241,548,2015-01-09,19:06:09
1242,549,2015-01-09,19:06:34
1244,550,2015-01-09,19:12:59
1246,551,2015-01-09,19:26:24
1250,552,2015-01-09,19:31:25
1253,553,2015-01-09,20:14:47
1254,554,2015-01-09,20:15:51
1256,555,2015-01-09,20:18:25
1258,556,2015-01-09,20:23:12
1260,557,2015-01-09,20:30:06
1262,558,2015-01-09,20:51:10
1263,559,2015-01-09,21:10:16
1264,560,2015-01-09,21:13:48
1266,561,2015-01-09,21:47:56
1267,562,2015-01-09,22:04:05
1268,563,2015-01-09,22:19:03
1270,564,2015-01-09,22:32:32
1273,565,2015-01-10,12:11:19
1274,566,2015-01-10,12:21:19
1275,567,2015-01-10,12:27:47
1285,568,2015-01-10,12:28:53
1286,569,2015-01-10,12:37:10
1289,570,2015-01-10,13:13:59
1291,571,2015-01-10,13:14:47
1292,572,2015-01-10,13:15:32
1293,573,2015-01-10,13:39:33
1295,574,2015-01-10,13:40:54
1296,575,2015-01-10,13:41:04
1300,576,2015-01-10,13:44:22
1303,577,2015-01-10,13:45:00
1305,578,2015-01-10,13:48:49
1310,579,2015-01-10,13:51:19
1311,580,2015-01-10,13:56:01
1313,581,2015-01-10,14:13:01
1314,582,2015-01-10,14:24:14
1315,583,2015-01-10,14:33:19
1316,584,2015-01-10,15:05:29
1318,585,2015-01-10,15:58:42
1320,586,2015-01-10,16:09:57
1322,587,2015-01-10,16:32:36
1324,588,2015-01-10,16:33:36
1325,589,2015-01-10,17:12:39
1328,590,2015-01-10,17:23:39
1329,591,2015-01-10,17:32:54
1332,592,2015-01-10,17:41:55
1335,593,2015-01-10,17:48:57
1337,594,2015-01-10,17:50:19
1338,595,2015-01-10,18:12:28
1340,596,2015-01-10,18:24:07
1342,597,2015-01-10,18:32:36
1345,598,2015-01-10,18:34:14
1346,599,2015-01-10,18:34:27
1347,600,2015-01-10,18:53:52
1351,601,2015-01-10,18:58:19
1354,602,2015-01-10,19:02:27
1355,603,2015-01-10,19:03:11
1356,604,2015-01-10,19:13:29
1358,605,2015-01-10,19:23:51
1360,606,2015-01-10,19:27:18
1361,607,2015-01-10,19:36:16
1364,608,2015-01-10,19:36:33
1368,609,2015-01-10,19:39:32
1369,610,2015-01-10,19:51:02
1371,611,2015-01-10,19:58:10
1375,612,2015-01-10,19:58:15
1379,613,2015-01-10,20:10:44
1380,614,2015-01-10,20:12:33
1381,615,2015-01-10,20:14:03
1383,616,2015-01-10,20:20:10
1385,617,2015-01-10,20:27:26
1387,618,2015-01-10,20:31:14
1389,619,2015-01-10,20:41:58
1390,620,2015-01-10,20:45:45
1394,621,2015-01-10,20:49:29
1398,622,2015-01-10,20:57:41
1400,623,2015-01-10,21:21:21
1402,624,2015-01-10,21:22:44
1404,625,2015-01-10,21:50:23
1406,626,2015-01-10,21:55:12
1408,627,2015-01-10,22:18:35
1410,628,2015-01-10,22:47:17
1414,629,2015-01-10,22:48:39
1418,630,2015-01-11,11:42:08
1419,631,2015-01-11,11:44:36
1420,632,2015-01-11,11:44:52
1421,633,2015-01-11,11:51:45
1424,634,2015-01-11,12:14:15
1425,635,2015-01-11,12:18:31
1435,636,2015-01-11,12:34:44
1436,637,2015-01-11,12:44:10
1438,638,2015-01-11,12:49:26
1439,639,2015-01-11,13:23:21
1440,640,2015-01-11,13:28:08
1443,641,2015-01-11,13:37:46
1447,642,2015-01-11,13:40:00
1451,643,2015-01-11,13:43:19
1452,644,2015-01-11,13:52:52
1454,645,2015-01-11,14:03:45
1456,646,2015-01-11,14:07:26
1458,647,2015-01-11,14:07:35
1459,648,2015-01-11,14:17:17
1461,649,2015-01-11,14:29:23
1465,650,2015-01-11,14:34:05
1466,651,2015-01-11,14:49:35
1469,652,2015-01-11,16:03:38
1473,653,2015-01-11,16:18:23
1474,654,2015-01-11,16:34:07
1477,655,2015-01-11,16:43:33
1478,656,2015-01-11,16:44:49
1480,657,2015-01-11,16:45:47
1482,658,2015-01-11,16:55:24
1485,659,2015-01-11,16:56:39
1487,660,2015-01-11,17:09:36
1489,661,2015-01-11,17:18:14
1490,662,2015-01-11,17:21:49
1492,663,2015-01-11,17:29:14
1493,664,2015-01-11,17:35:14
1496,665,2015-01-11,17:42:23
1498,666,2015-01-11,17:42:25
1499,667,2015-01-11,18:13:08
1501,668,2015-01-11,18:13:12
1505,669,2015-01-11,18:40:44
1507,670,2015-01-11,18:46:25
1509,671,2015-01-11,19:18:42
1510,672,2015-01-11,19:18:46
1512,673,2015-01-11,19:28:13
1514,674,2015-01-11,19:33:05
1518,675,2015-01-11,19:33:19
1519,676,2015-01-11,19:44:57
1521,677,2015-01-11,19:51:09
1522,678,2015-01-11,19:52:49
1525,679,2015-01-11,20:31:02
1529,680,2015-01-11,21:07:30
1531,681,2015-01-11,21:29:50
1532,682,2015-01-12,11:38:15
1533,683,2015-01-12,11:39:08
1536,684,2015-01-12,12:01:23
1537,685,2015-01-12,12:11:46
1538,686,2015-01-12,12:13:07
1539,687,2015-01-12,12:21:09
1540,688,2015-01-12,12:26:41
1542,689,2015-01-12,12:33:22
1544,690,2015-01-12,12:42:10
1545,691,2015-01-12,12:45:53
1546,692,2015-01-12,12:53:37
1548,693,2015-01-12,13:04:24
1552,694,2015-01-12,13:30:47
1555,695,2015-01-12,13:33:06
1556,696,2015-01-12,13:49:40
1558,697,2015-01-12,13:58:56
1560,698,2015-01-12,14:08:16
1563,699,2015-01-12,14:27:03
1564,700,2015-01-12,14:31:13
1569,701,2015-01-12,14:33:39
1571,702,2015-01-12,14:38:35
1573,703,2015-01-12,15:08:01
1574,704,2015-01-12,15:28:25
1576,705,2015-01-12,15:31:00
1579,706,2015-01-12,15:39:04
1581,707,2015-01-12,15:41:32
1584,708,2015-01-12,15:52:44
1585,709,2015-01-12,15:53:56
1586,710,2015-01-12,15:59:52
1590,711,2015-01-12,16:21:10
1594,712,2015-01-12,16:22:18
1595,713,2015-01-12,16:31:56
1597,714,2015-01-12,16:55:08
1601,715,2015-01-12,17:05:33
1604,716,2015-01-12,17:06:05
1605,717,2015-01-12,17:24:44
1607,718,2015-01-12,17:46:30
1609,719,2015-01-12,17:52:27
1611,720,2015-01-12,17:53:59
1615,721,2015-01-12,18:17:15
1617,722,2015-01-12,18:20:58
1619,723,2015-01-12,18:21:04
1621,724,2015-01-12,18:24:47
1624,725,2015-01-12,18:33:14
1628,726,2015-01-12,18:34:25
1629,727,2015-01-12,18:44:57
1630,728,2015-01-12,18:53:17
1633,729,2015-01-12,19:20:41
1636,730,2015-01-12,19:22:00
1637,731,2015-01-12,19:27:47
1639,732,2015-01-12,19:30:17
1640,733,2015-01-12,19:57:36
1644,734,2015-01-12,20:00:30
1645,735,2015-01-12,20:35:34
1648,736,2015-01-12,21:35:14
1650,737,2015-01-13,11:31:34
1652,738,2015-01-13,12:16:47
1653,739,2015-01-13,12:19:38
1654,740,2015-01-13,12:29:51
1667,741,2015-01-13,12:49:09
1668,742,2015-01-13,12:53:01
1669,743,2015-01-13,13:08:32
1670,744,2015-01-13,13:34:48
1671,745,2015-01-13,13:36:53
1678,746,2015-01-13,13:41:13
1680,747,2015-01-13,14:15:02
1683,748,2015-01-13,14:27:31
1684,749,2015-01-13,14:29:23
1685,750,2015-01-13,14:48:09
1686,751,2015-01-13,15:07:35
1690,752,2015-01-13,15:19:25
1692,753,2015-01-13,15:22:11
1696,754,2015-01-13,15:47:56
1698,755,2015-01-13,15:50:49
1700,756,2015-01-13,15:55:11
1703,757,2015-01-13,16:10:34
1707,758,2015-01-13,16:14:43
1709,759,2015-01-13,16:14:56
1710,760,2015-01-13,16:27:40
1711,761,2015-01-13,16:30:20
1713,762,2015-01-13,16:36:36
1717,763,2015-01-13,16:38:57
1718,764,2015-01-13,16:39:39
1720,765,2015-01-13,17:11:41
1724,766,2015-01-13,17:21:45
1727,767,2015-01-13,17:21:48
1728,768,2015-01-13,17:23:34
1729,769,2015-01-13,17:43:17
1730,770,2015-01-13,17:44:13
1732,771,2015-01-13,17:59:32
1734,772,2015-01-13,18:07:59
1735,773,2015-01-13,18:18:15
1737,774,2015-01-13,18:31:07
1739,775,2015-01-13,18:42:12
1743,776,2015-01-13,18:50:43
1745,777,2015-01-13,19:10:20
1747,778,2015-01-13,19:18:08
1751,779,2015-01-13,19:19:58
1755,780,2015-01-13,20:12:49
1757,781,2015-01-13,20:31:17
1761,782,2015-01-13,20:36:27
1763,783,2015-01-13,21:17:08
1766,784,2015-01-13,21:39:41
1767,785,2015-01-14,11:28:44
1769,786,2015-01-14,11:35:30
1770,787,2015-01-14,11:45:30
1772,788,2015-01-14,11:46:19
1773,789,2015-01-14,11:51:37
1774,790,2015-01-14,12:07:30
1776,791,2015-01-14,12:23:54
1778,792,2015-01-14,12:37:48
1785,793,2015-01-14,12:38:27
1786,794,2015-01-14,12:39:16
1787,795,2015-01-14,12:42:17
1788,796,2015-01-14,12:43:09
1789,797,2015-01-14,12:50:01
1792,798,2015-01-14,12:50:30
1796,799,2015-01-14,12:51:29
1799,800,2015-01-14,12:54:35
